ScientificNameBT,CommonNameBT
Steatornis caripensis,Oilbird
Leptosomus discolor,Cuckoo-roller
Opisthocomus hoazin,Hoatzin
Anseranas semipalmata,Magpie Goose
Sagittarius serpentarius,Secretarybird
Thaumatibis gigantea,Giant Ibis
Pandion haliaetus,Osprey
Rhynochetos jubatus,Kagu
Eurypyga helias,Sunbittern
Nyctibius bracteatus,Rufous Potoo
Struthio camelus,Ostrich
Pluvianus aegyptius,Egyptian Plover
Phaenicophaeus chlorophaeus,Raffles's Malkoha
Scopus umbretta,Hamerkop
Balaeniceps rex,Shoebill
Gavia stellata,Red-throated Loon
Corythaeola cristata,Great Blue Turaco
Urocolius macrourus,Blue-naped Mousebird
Urocolius indicus,Red-faced Mousebird
Sarcoramphus papa,King Vulture
Vultur gryphus,Andean Condor
Pachycoccyx audeberti,Thick-billed Cuckoo
Rigidipenna inexpectata,Solomon Islands Frogmouth
Tapera naevia,Striped Cuckoo
Colius leucocephalus,White-headed Mousebird
Tinamotis pentlandii,Puna Tinamou
Tinamotis ingoufi,Patagonian Tinamou
Ceuthmochares aereus,Yellowbill
Nyctibius aethereus,Long-tailed Potoo
Mesembrinibis cayennensis,Green Ibis
Aegotheles savesi,New Caledonian Owlet-nightjar
Oreopholus ruficollis,Tawny-throated Dotterel
Cariama cristata,Red-legged Seriema
Chunga burmeisteri,Black-legged Seriema
Nyctibius grandis,Great Potoo
Pedionomus torquatus,Plains-wanderer
Sapayoa aenigma,Broad-billed Sapayoa
Phaethon aethereus,Red-billed Tropicbird
Guira guira,Guira Cuckoo
Urocynchramus pylzowi,Pink-tailed Bunting
Heliomaster constantii,Plain-capped Starthroat
Hemiprocne comata,Whiskered Treeswift
Morococcyx erythropygus,Lesser Ground-cuckoo
Scythrops novaehollandiae,Channel-billed Cuckoo
Monias benschi,Subdesert Mesite
Podilymbus podiceps,Pied-billed Grebe
Aegotheles insignis,Feline Owlet-nightjar
Upupa epops,Eurasian Hoopoe
Aegotheles tatei,Starry Owlet-nightjar
Dulus dominicus,Palmchat
Acanthisitta chloris,Rifleman
Xenicus gilviventris,South Island Wren
Ortyxelos meiffrenii,Lark Buttonquail
Tauraco porphyreolophus,Purple-crested Turaco
Ruwenzorornis johnstoni,Ruwenzori Turaco
Rostratula semicollaris,South American Painted-snipe
Eudromia elegans,Elegant Crested-tinamou
Eudromia formosa,Quebracho Crested-tinamou
Micrathene whitneyi,Elf Owl
Zebrilus undulatus,Zigzag Heron
Lugensa brevirostris,Kerguelen Petrel
Ibidorhyncha struthersii,Ibisbill
Anhima cornuta,Horned Screamer
Tauraco leucotis,White-cheeked Turaco
Oceanodroma castro,Madeiran Storm-petrel
Colius colius,White-backed Mousebird
Coragyps atratus,Black Vulture
Gymnogyps californianus,California Condor
Colius striatus,Speckled Mousebird
Regulus satrapa,Golden-crowned Kinglet
