ScientificNameV3,CommonNameV3,FamilyV3,ScientificName2023,CommonName2023,Family2023
Struthio camelus,Ostrich,Struthionidae,,,
,,,Struthio camelus,Common Ostrich,Struthionidae
,,,Struthio molybdophanes,Somali Ostrich,Struthionidae
,,,Dromaius novaehollandiae,Emu,Casuariidae
Dromaius novaehollandiae,Emu,Dromaiidae,,,
Dromaius ater,King Island Emu,Dromaiidae,,,
Dromaius baudinianus,Kangaroo Island Emu,Dromaiidae,,,
Apteryx australis,Southern Brown Kiwi,Apterygidae,,,
,,,Apteryx australis,Southern Brown Kiwi,Apterygidae
,,,Apteryx rowi,Okarito Brown Kiwi,Apterygidae
Apteryx mantelli,Northern Brown Kiwi,Apterygidae,Apteryx mantelli,North Island Brown Kiwi,Apterygidae
Tinamus tao,Grey Tinamou,Tinamidae,Tinamus tao,Gray Tinamou,Tinamidae
Crypturellus duidae,Grey-legged Tinamou,Tinamidae,Crypturellus duidae,Gray-legged Tinamou,Tinamidae
,,,Nothura maculosa,Spotted Nothura,Tinamidae
Nothura maculosa,Spotted Nothura,Tinamidae,,,
Nothura chacoensis,Chaco Nothura,Tinamidae,,,
Podiceps nigricollis,Black-necked Grebe,Podicipedidae,Podiceps nigricollis,Eared Grebe,Podicipedidae
Eudyptes moseleyi,Northern Rockhopper Penguin,Spheniscidae,Eudyptes moseleyi,Moseley's Rockhopper Penguin,Spheniscidae
Diomedea exulans,Wandering Albatross,Diomedeidae,Diomedea exulans,Snowy Albatross,Diomedeidae
,,,Thalassarche melanophris,Black-browed Albatross,Diomedeidae
Thalassarche melanophrys,Black-browed Albatross,Diomedeidae,,,
Thalassarche impavida,Campbell Albatross,Diomedeidae,,,
,,,Thalassarche cauta,White-capped Albatross,Diomedeidae
Thalassarche cauta,Shy Albatross,Diomedeidae,,,
Thalassarche steadi,White-capped Albatross,Diomedeidae,,,
Thalassarche chrysostoma,Grey-headed Albatross,Diomedeidae,Thalassarche chrysostoma,Gray-headed Albatross,Diomedeidae
Lugensa brevirostris,Kerguelen Petrel,Procellariidae,Aphrodroma brevirostris,Kerguelen Petrel,Procellariidae
Pterodroma cervicalis,White-necked Petrel,Procellariidae,,,
,,,Pterodroma cervicalis,White-necked Petrel,Procellariidae
,,,Pterodroma occulta,Vanuatu Petrel,Procellariidae
Pterodroma defilippiana,De Filippi's Petrel,Procellariidae,Pterodroma defilippiana,Masatierra Petrel,Procellariidae
Pterodroma macroptera,Great-winged Petrel,Procellariidae,,,
,,,Pterodroma macroptera,Great-winged Petrel,Procellariidae
,,,Pterodroma gouldi,Gray-faced Petrel,Procellariidae
Pterodroma caribbaea,Jamaica Petrel,Procellariidae,Pterodroma caribbaea,Jamaican Petrel,Procellariidae
Pachyptila salvini,Medium-billed Prion,Procellariidae,,,
,,,Pachyptila salvini,Salvin's Prion,Procellariidae
,,,Pachyptila macgillivrayi,MacGillivray's Prion,Procellariidae
Pachyptila belcheri,Thin-billed Prion,Procellariidae,Pachyptila belcheri,Slender-billed Prion,Procellariidae
Procellaria cinerea,Grey Petrel,Procellariidae,Procellaria cinerea,Gray Petrel,Procellariidae
Puffinus pacificus,Wedge-tailed Shearwater,Procellariidae,Ardenna pacifica,Wedge-tailed Shearwater,Procellariidae
Puffinus bulleri,Buller's Shearwater,Procellariidae,Ardenna bulleri,Buller's Shearwater,Procellariidae
Puffinus carneipes,Flesh-footed Shearwater,Procellariidae,Ardenna carneipes,Flesh-footed Shearwater,Procellariidae
Puffinus creatopus,Pink-footed Shearwater,Procellariidae,Ardenna creatopus,Pink-footed Shearwater,Procellariidae
Puffinus gravis,Great Shearwater,Procellariidae,Ardenna gravis,Great Shearwater,Procellariidae
Puffinus griseus,Sooty Shearwater,Procellariidae,Ardenna grisea,Sooty Shearwater,Procellariidae
Puffinus tenuirostris,Short-tailed Shearwater,Procellariidae,Ardenna tenuirostris,Short-tailed Shearwater,Procellariidae
Puffinus nativitatis,Christmas Island Shearwater,Procellariidae,Puffinus nativitatis,Christmas Shearwater,Procellariidae
Puffinus newelli,Newell's Shearwater,Procellariidae,,,
,,,Puffinus newelli,Newell's Shearwater,Procellariidae
,,,Puffinus myrtae,Rapa Shearwater,Procellariidae
Puffinus lherminieri,Audubon's Shearwater,Procellariidae,,,
,,,Puffinus lherminieri,Audubon's Shearwater,Procellariidae
,,,Puffinus bailloni,Tropical Shearwater,Procellariidae
,,,Puffinus subalaris,Galapagos Shearwater,Procellariidae
Puffinus assimilis,Little Shearwater,Procellariidae,,,
,,,Puffinus assimilis,Little Shearwater,Procellariidae
,,,Puffinus elegans,Subantarctic Shearwater,Procellariidae
,,,Puffinus baroli,Barolo Shearwater,Procellariidae
,,,Puffinus boydi,Boyd's Shearwater,Procellariidae
,,,Puffinus persicus,Persian Shearwater,Procellariidae
,,,Puffinus bannermani,Bannerman's Shearwater,Procellariidae
,,,Puffinus bryani,Bryan's Shearwater,Procellariidae
Oceanites oceanicus,Wilson's Storm-petrel,Hydrobatidae,Oceanites oceanicus,Wilson's Storm-Petrel,Oceanitidae
Oceanites maorianus,New Zealand Storm-petrel,Hydrobatidae,Fregetta maoriana,New Zealand Storm-Petrel,Oceanitidae
,,,Fregetta lineata,New Caledonian Storm-Petrel,Oceanitidae
Oceanites gracilis,White-vented Storm-petrel,Hydrobatidae,Oceanites gracilis,Elliot's Storm-Petrel,Oceanitidae
,,,Oceanites pincoyae,Pincoya Storm-Petrel,Oceanitidae
Garrodia nereis,Grey-backed Storm-petrel,Hydrobatidae,Garrodia nereis,Gray-backed Storm-Petrel,Oceanitidae
Pelagodroma marina,White-faced Storm-petrel,Hydrobatidae,Pelagodroma marina,White-faced Storm-Petrel,Oceanitidae
Fregetta tropica,Black-bellied Storm-petrel,Hydrobatidae,Fregetta tropica,Black-bellied Storm-Petrel,Oceanitidae
Fregetta grallaria,White-bellied Storm-petrel,Hydrobatidae,Fregetta grallaria,White-bellied Storm-Petrel,Oceanitidae
Nesofregetta fuliginosa,White-throated Storm-petrel,Hydrobatidae,Nesofregetta fuliginosa,Polynesian Storm-Petrel,Oceanitidae
